Atividade,Mariana (CEO),Ricardo (COO),Fernanda (Frontend),Michael (Backend),Ygor (Designer)
Definição Arquitetura Tecnológica,A,C,I,R,I
Integração Sistemas de Pagamento,A,C,I,R,I
Refatoração Front-End,A,C,R,I,C
Desenvolvimento Back-End APIs,A,C,C,R,I
Design System e Identidade Visual,A,I,C,I,R
Integração ERP Omie,A,C,I,R,I
Sistema de Logística/Frete,A,R,I,R,I
Testes e Quality Assurance,A,A,C,R,I
Deploy e Produção,A,C,I,R,I
Gestão de Cronograma,R,A,C,C,C
Estratégia de Marketing Digital,A,I,C,I,R
Análise e Otimização UX/UI,A,C,R,C,C
Configuração Infraestrutura,A,C,I,R,I
Documentação Técnica,A,C,C,R,C
Treinamento Cliente Final,R,C,C,C,C
